,lat,lon,url,city,state,zip,status,type,style,price,beds,baths,half_baths,sq_ft,acres_lot,on_realtor,built,preds,expected_diff
0,32.904379,-96.328848,https://www.realtor.com/realestateandhomes-detail/431-Alexander-Ln_Royse-City_TX_75189_M75469-59244,Royse City,TX,75189.0,Active,Single Family Home,Traditional,339000.0,3.0,2.0,1.0,2080.0,1.56,66.0,2003.0,207323.0238436972,131676.9761563028
1,32.885827,-96.480427,https://www.realtor.com/realestateandhomes-detail/910-Signal-Ridge-Pl_Rockwall_TX_75032_M75455-39317,Rockwall,TX,75032.0,Active Option Contract,Condo/Townhome/Row Home/Co-Op,nan,209900.0,2.0,2.0,0.0,1185.0,0.08099173553719008,31.0,1985.0,330727.23928858107,-120827.23928858107
3,32.831306,-96.433962,https://www.realtor.com/realestateandhomes-detail/1221-McDonald-Rd_Rockwall_TX_75032_M81010-23591,Rockwall,TX,75032.0,Active,Single Family Home,Colonial,2159000.0,5.0,4.0,2.0,6345.0,28.0,58.0,1978.0,3077865.7272564657,-918865.7272564657
4,32.916565999999996,-96.338747,https://www.realtor.com/realestateandhomes-detail/5843-S-Fm-548_Royse-City_TX_75189_M74127-60733,Royse City,TX,75189.0,Pending,Single Family Home,"Ranch,Traditional",299750.0,5.0,2.0,1.0,2180.0,2.01,30.0,2000.0,89997.24479462643,209752.75520537357
5,32.910585,-96.459074,https://www.realtor.com/realestateandhomes-detail/153-Pelican-Cove-Dr_Rockwall_TX_75087_M82957-09557,Rockwall,TX,75087.0,Pending,Single Family Home,Traditional,255900.0,3.0,2.0,0.0,1763.0,0.27,30.0,1997.0,320406.9645884944,-64506.96458849439
6,32.948414,-96.388138,https://www.realtor.com/realestateandhomes-detail/704-Hickory-Ln_Fate_TX_75087_M80080-67718,Fate,TX,75087.0,Active,Single Family Home,Traditional,228000.0,4.0,2.0,0.0,2097.0,0.12601010101010102,66.0,2005.0,294568.5665087028,-66568.56650870282
7,32.929541,-96.372983,https://www.realtor.com/realestateandhomes-detail/139-Cameron-Dr_Fate_TX_75132_M78253-01258,Fate,TX,75189.0,Active Option Contract,Single Family Home,nan,309900.0,4.0,3.0,0.0,3448.0,0.12601010101010102,30.0,2014.0,310240.7632335506,-340.7632335505914
8,32.849996999999995,-96.489878,https://www.realtor.com/realestateandhomes-detail/9-Meadowlake-Dr_Heath_TX_75032_M87407-81263,Heath,TX,75032.0,Active,Single Family Home,Traditional,930000.0,6.0,7.0,0.0,7000.0,1.03,58.0,1983.0,2610881.7191379247,-1680881.7191379247
9,32.8634,-96.44666,https://www.realtor.com/realestateandhomes-detail/1712-Bison-Meadow-Ln_Heath_TX_75032_M80000-78682,Heath,TX,75032.0,Active,Single Family Home,Mediterranean,1650000.0,4.0,4.0,2.0,6338.0,2.07,61.0,2005.0,2365250.3550756075,-715250.3550756075
10,32.826903,-96.35592199999999,https://www.realtor.com/realestateandhomes-detail/14892-S-Fm-548_Rockwall_TX_75032_M73740-78716,Rockwall,TX,75032.0,Active,Single Family Home,Traditional,423400.0,4.0,3.0,0.0,2666.0,2.5,63.0,1997.0,310688.5901831265,112711.40981687349
