date_scraped,url,lat,lon,address,city,state,zip,price,beds,baths,half_baths,sq_ft,sqft_lot,acres_lot,status,price_sq_ft,on_realtor,type,built,style,description
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4539-Lafayette-St_Dallas_TX_75204_M72981-32587,32.806434,-96.782606,4539 Lafayette St,Dallas,TX,75204.0,,2.0,2.0,1.0,1932.0,,,Sold,No Info,,Single Family Home,2018.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4310-Buena-Vista-St-E30_Dallas_TX_75205_M83314-72786,32.819918,-96.7932,4310 Buena Vista St Apt 30,Dallas,TX,75205.0,379998.0,2.0,2.0,1.0,1707.0,,1.3,Active,223,44 days,Condo/Townhome/Row Home/Co-Op,2000.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3816-Colgate-Ave_Dallas_TX_75225_M82403-60033,32.860633,-96.797448,3816 Colgate Ave,University Park,TX,75225.0,3100000.0,5.0,6.0,2.0,5786.0,,0.24,Active,536,58 days,Single Family Home,2004.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2823-Cain-Blvd_Dallas_TX_75211_M84206-19953,32.744781,-96.866339,2823 Cain Blvd,Dallas,TX,75211.0,364000.0,4.0,2.0,1.0,2112.0,7841.0,,Active,172,65 days,Single Family Home,1930.0,Spanish,"A two story Spanish Colonial with wood burning fireplace, front entry driveway and detached two car garage is waiting in Oak Cliff's Ravinia Heights addition for its new owner's to find it. This home built in 1930 has original hardwood floors, four bedrooms, two and one half bathrooms, office or computer room and laundry or utility area with sink. Unique classical architectural features on the exterior as well as the interior enhance its appeal. Great location approximately 5 miles from downtown Dallas on a quiet one block long street makes this property very attractive."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Wiltshire_Gatherings-at-Mercer-Crossing_1735-Wittington-Pl_Farmers-Branch_TX_75234_P414549887832,32.915977000000005,-96.921187,1735 Wittington Place,Farmers Branch,TX,75234.0,350142.0,2.0,2.0,,2031.0,,,Active,172,31 days,condo/townhome/row home/co-op,,,"Blend the familiar feel of a single-family home with an easy-maintenance condo.. Vastly-sized walk-in closets, a generous office, formal dining room, and striking kitchen open to an immense living space provide room to relax or entertain in style. The luxe life is realized in the Wiltshire."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4310-Buena-Vista-St-E30_Dallas_TX_75205_M83314-72786,32.819918,-96.7932,4310 Buena Vista St Apt 30,Dallas,TX,75205.0,379998.0,2.0,2.0,1.0,1707.0,,1.3,Active,223,44 days,Condo/Townhome/Row Home/Co-Op,2000.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Sherwood_Gatherings-at-Mercer-Crossing_1735-Wittington-Pl_Farmers-Branch_TX_75234_P412768076965,32.915977000000005,-96.921187,1735 Wittington Place,Farmers Branch,TX,75234.0,333926.0,2.0,2.0,,1869.0,,,Active,179,35 days,condo/townhome/row home/co-op,,,Theres no shortage of dedicated spaces in this home.. Prepare a gourmet meal in your chefs kitchen with walk-in pantry. Plan an adventure in the office. Take in the fresh air from your balcony. The simple life has never felt so upscale.
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3816-Colgate-Ave_Dallas_TX_75225_M82403-60033,32.860633,-96.797448,3816 Colgate Ave,University Park,TX,75225.0,3100000.0,5.0,6.0,2.0,5786.0,,0.24,Active,536,58 days,Single Family Home,2004.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Owens_University-Place_17732-Sage-Ln_Dallas_TX_75252_P413649110491,32.992538,-96.76186700000001,17732 Sage Lane,Dallas,TX,75252.0,464990.0,4.0,3.0,1.0,3104.0,,,Active,150,74 days,single_family,,,"Find a room for everything in the two-story Owens, including a secluded study, a main-floor owners suite, secondary bedrooms with walk-in closets and even a game"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4850-Chambers-St_Dallas_TX_75204_M76391-21067,32.808518,-96.779244,4850 Chambers St,Dallas,TX,75204.0,379900.0,2.0,2.0,1.0,1532.0,1002.0,,Active,248,65 days,Condo/Townhome/Row Home/Co-Op,2018.0,Traditional,"New Construction East Village Townhome community is walking distance to restaurants and shops located on Fitzhugh, Belmont, Henderson and more. Spacious light-filled living and kitchen invites entertaining. The well-appointed kitchen with custom glass backsplash adds to the appeal. Two en-suite bedrooms make use of the well-placed utility closet in the connecting hall. Take the party to the rooftop deck with room for a crowd, or just relax after a long day and enjoy views of downtown. So many special features to this home including the smart home features. Close to downtown Business District, Baylor Hospital, Klyde Warren Park, the Arts District, Knox Street and more."
